"代號","名稱","股價日期","成交","股價最高","股價最低","成交張數","5日均線","10日均線","月均線","季均線"
="1570","力肯","09/09","13.25","13.3","13.2","17","13.23↗","13.25↘","13.26↘","13.42↘"
="1580","新麥","09/09","77.2","77.4","75","210","76.6↗","77.07↘","78.2↘","81.5↘"
="1584","精剛","09/09","9.15","9.53","8.93","1,464","8.72↗","8.42↗","8.19↗","7.95↗"
="1586","和勤","09/09","43.25","43.55","42.9","615","43.8↘","44.48↘","43.98↗","40.45↗"
="1591","駿吉-KY","09/09","17.7","18","17.55","9","17.71↘","17.93↘","17.99↘","19.95↘"
="1593","祺驊","09/09","59.4","60.4","58","147","59.84↘","60↗","59.12↗","57.24↗"
="1595","川寶","09/09","33.5","33.55","33.2","21","32.94↗","32.75↗","32.72↗","34.32↘"
="1597","直得","09/09","78.7","79.4","78.3","136","79↘","78.66↗","77.82↘","85.42↘"
="1599","宏佳騰","09/09","31.7","31.8","31.65","38","31.82↘","32.16↗","31.8↗","31.28↗"
="1742","台蠟","09/09","21.6","21.6","21.35","89","21.52↗","21.38↗","21.3↗","21.35↗"
="1752","南光","09/09","42.65","43.35","42.5","375","43.06↘","43.4↘","43.34↘","46.44↗"
="1777","生泰","09/09","76.7","76.7","76.2","56","78.3↘","79.93↘","81.44↘","85.07↘"
="1781","合世","09/09","29.95","31","29.9","455","30.05↘","31.02↘","33.18↘","33.97↗"
="1784","訊聯","09/09","41.8","42.2","41.7","321","41.82↘","41.78↘","41.26↗","42.99↗"
="1785","光洋科","09/09","43.1","43.25","41","16,040","41.38↗","41.49↗","40.77↗","42.79↗"
="1788","杏昌","09/09","111","111","110.5","7","111.1↗","110.6↘","110.3↗","110→"
="1796","金穎生技","09/09","22.35","23","22.35","16","22.46↘","22.93↘","23.24↘","24.1↘"
="1799","易威","09/09","19.4","19.9","19.3","325","19.59↘","20.07↘","20.95↘","23.74↘"
="1813","寶利徠","09/09","19.9","20.05","19.85","30","19.86↗","19.76↘","19.95↘","21.43↘"
="1815","富喬","09/09","11.05","11.15","10.65","3,397","10.68↗","10.49↗","10.31↗","10.53↗"
="2035","唐榮","09/09","38.3","38.3","38.3","0.0","38.32↘","38.28↗","38.45↘","38.59↘"
="2061","風青","09/09","9.99","10.45","9.82","141","9.56↗","9.3↗","9.08↗","8.63↗"
="2063","世鎧","09/09","31.9","32","31.4","10","31.94↗","31.82↗","31.65↘","32.19↘"
="2064","晉椿","09/09","12.55","12.55","12.55","0","12.8↘","12.51↗","11.9↗","11.47↗"
="2065","世豐","09/09","57.9","58.1","56.6","256","57.44→","57.62↗","56.94↗","55.73↗"
="2066","世德","09/09","50.6","51.9","50.6","22","51.28↗","50.51↘","50.42↗","51.92↘"
="2067","嘉鋼","09/09","8.9","8.95","8.72","32","8.98↗","8.88↗","8.79↗","8.8↘"
="2070","精湛","09/09","26.6","26.6","26.55","5","26.38↗","26.16↗","26.89↘","29.34↘"
="2221","大甲","09/09","24.15","24.25","23.75","51","24.18↘","24.04↗","23.9↗","25.17↘"
="2230","泰茂","09/09","12.15","12.25","12.1","25","12.34↘","12.24↘","12.19↗","12.38↗"
="2235","謚源","09/09","43.4","44.2","43","27","43.27↗","43.08↗","43.47↘","46.42↘"
="2596","綠意","09/09","21.25","21.25","21.1","61","21.24→","21.22→","21.19→","21.47↗"
="2640","大車隊","09/09","88.5","89.7","88.5","9","88.96↘","89.59↘","89.35↗","86.99↗"
="2641","正德","09/09","8.43","8.56","8.2","3,422","8.33↗","8.22↗","7.78↗","7.03↗"
="2643","捷迅","09/09","51","51.3","50.7","117","52.3↘","52.12↗","50.97↘","51.22↗"
="2718","晶悅","09/09","20.1","20.1","20.1","0","20.04→","20.04↗","19.9↗","19.32↗"
="2719","燦星旅","09/09","10.1","10.2","8.52","23","9.51↘","10.32↘","11.42↘","14.13↘"
="2724","富驛-KY","09/09","2.96","3.25","2.96","41","3.25↘","3.29↘","3.21↘","3.31↘"
="2726","雅茗-KY","09/09","61.8","62","61.6","42","61.9↘","62↘","62.73↘","64.35↘"
="2729","瓦城","09/09","214","216.5","213","13","215.5↘","216.6↘","219.8↘","234.8↘"
="2732","六角","09/09","130","130","126.5","170","129.7↗","128.6↗","126.9↗","137.3↘"
="2734","易飛網","09/09","10.45","10.45","10.15","20","10.65↘","10.55↘","11.04↘","12.38↘"
="2736","高野","09/09","13.25","13.8","12.95","412","13.36↘","13.5↘","13.4↘","14.39↘"
="2740","天蔥","09/09","18.25","18.25","17.85","4","18.25↘","18.22↘","18.27↘","20.24↘"
="2743","山富","09/09","14.6","14.6","14.35","67","14.55↘","14.62↘","14.58↗","15.41↘"
="2745","五福","09/09","15.2","15.35","15.1","16","15.09↗","14.96↗","15.04↘","16.76↘"
="2752","豆府","09/09","170.5","171","170","35","170.2↗","169.4↗","168.5↗","163.8↗"
="2916","滿心","09/09","15.9","15.95","15.85","16","15.92↘","15.9↗","15.86↗","16.02↘"
="2924","東凌-KY","09/09","18.8","18.8","18.8","2","18.86↘","18.9↘","18.89↘","18.99↘"
="2926","誠品生活","09/09","77.8","78.3","77.5","3","76.88↗","75.13↗","75.35↘","80.92↘"
="2928","紅馬-KY","09/09","29.35","30.05","29.35","10","29.38↗","29.4↗","30.97↘","37.46↘"
="2937","集雅社","09/09","32.9","33.2","32.9","24","33.42↘","33.88↘","33.96↘","32.58↘"
="3064","泰偉","09/09","11","11","10.55","335","10.7↘","11.48↘","13.45↘","17.49↘"
="3066","李洲","09/09","7","7","6.55","45","6.62↗","6.51↗","6.37↗","6.12↗"
="3067","全域","09/09","27","28.05","26.45","28","26.99↗","26.3↗","25.91↗","26.06↘"
="3071","協禧","09/09","25.05","25.25","24.2","787","25.69↘","25.04↗","23.91↗","21.88↗"
="3078","僑威","09/09","50.7","51.3","47.1","28,366","48.25↗","46.76↗","40.01↗","33.04↗"
="3081","聯亞","09/09","235","236.5","230.5","449","238.1↘","241↘","250.2↘","272.6↘"
="3083","網龍","09/09","50.9","51.2","48.55","832","50.37↘","51↘","53.8↘","72.15↘"
="3085","新零售","09/09","5.26","5.26","5.23","4","5.32↗","5.44↘","5.6↘","5.32↗"
="3086","華義","09/09","17.65","17.65","17.65","2","17.4→","17.53↘","17.9↗","18.19↘"
="3088","艾訊","09/09","52.3","52.5","51.8","131","52.54↘","52.87↘","52.85↘","55.02↘"
="3089","元炬","09/09","21.75","22","21.65","19","22.86↗","22.3↘","22.38↘","22.61↗"
="3092","鴻碩","09/09","37.9","38","37.5","297","37.82↘","38.86↘","40.67↘","41.79↘"
="3093","港建","09/09","37.6","38.45","37.15","176","40.02↘","38.75↗","35.88↗","31.18↗"
="3095","及成","09/09","3.3","3.56","3.25","2,056","2.93↗","2.56↗","2.34↗","2.17↗"
="3105","穩懋","09/09","287.5","289","281","2,614","287.9↘","289.2↘","287.4↘","301.3↘"
="3114","好德","09/09","19.5","19.7","19.5","85","19.74↘","19.9↘","19.61↘","21.21↘"
="3115","寶島極","09/09","16.7","17","16.25","76","15.51↗","14.16↗","13.63↗","13.63↗"
="3118","進階","09/09","30.6","30.65","30.35","55","30.73↘","31.08↘","31.36↘","33.57↘"
="3122","笙泉","09/09","11.2","11.25","11","39","11.13↗","10.99↗","10.93↘","11.21↗"
="3128","昇銳","09/09","13.35","13.5","13.25","271","13.25↗","13.22↗","13.23↗","13.03↗"
="3131","弘塑","09/09","349","353.5","336","503","350.5↘","356↘","341.3↘","331.7↗"
="3141","晶宏","09/09","29.25","29.3","28.45","310","29.48↗","28.95↗","27.22↗","25.54↗"
="3144","新揚科","09/09","25.25","25.25","25","151","25.48↘","25.6↘","26.19↘","26.02↗"
="3147","大綜","09/09","31.95","32.15","31.5","26","31.98↘","32.42↘","33.37↘","34.52↘"
="3152","璟德","09/09","392","392.5","377","869","383.2↗","374.2↗","365↗","389.2↗"
="3162","精確","09/09","11.8","11.8","11.65","8","11.88↘","11.52↗","10.78↗","10.22↗"
="3163","波若威","09/09","62.4","65.3","61.8","4,740","62.8↘","63.83↘","65.22↘","60.79↗"
="3169","亞信","09/09","35.95","36","35.25","38","36.01↘","36.9↘","36.18↗","36.58↘"
="3171","新洲","09/09","21.8","21.8","21.55","29","21.84↘","21.86↗","21.72↘","22.77↘"
="3176","基亞","09/09","72.2","72.6","71.6","677","73.14↘","72.51↘","71.57↗","78.52↗"
="3178","公準","09/09","57.2","57.2","55","727","59.06↘","58.25↗","55.13↗","55.32↘"
